Change component parameters: Designator = "L1" ("L1"); Footprint = "axial-0.9"; UniqueID = "\TRDQJFFR" ("\TRDQJFFR")
Change component parameters (AddParameter): Name = "CPAR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DTEMP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Initial Current"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "M"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RPAR"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RSER"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SimulationGenericComponent"; Value = "True"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Newark"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "63K2915"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "T_REL_LOCAL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TC1"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TC2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TEMP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "560n"; VariantName = "[No Variations]"
Added Room: Name=milestone1
